respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.02322810187907141,0.059264213784292016
26708,0.20008286970954822,0.14242247572502945
26709,0.028220815494039004,0.09528670379763919
26710,0.057426272622306034,0.931070576322317
26711,0.04035978986290085,0.09188163831894404
26712,0.14910091985051502,0.9005432824189654
26713,0.08391601162330446,0.32525578579849784
26714,0.6552335228837664,0.29150895537209826
26715,0.09449674612728388,0.38017396547989724
26716,0.08946201839785724,0.39693437172206447
26717,0.06816987019586689,0.3611768598071515
26718,0.08522150631736018,0.3521014172281413
26719,0.07197834173830382,0.9599400889937062
26720,0.04318866594906358,0.1705494398171172
26721,0.38098390647752384,0.6340728998908298
26722,0.03692497593075448,0.15291065439464718
26723,0.28255928085148985,0.9161274043400394
26724,0.08547015771471836,0.3562406187482873
26725,0.7403012597569104,0.933077828325467
26726,0.12968812559286305,0.5501753240404653
26727,0.22875445045339682,0.4815805622541205
26728,0.41890305826880875,0.37533893115313205
26729,0.31006784814279137,0.4356660182055785
26730,0.15543605067579375,0.07365347237157122
26731,0.07509981623784243,0.08583312882875525
26732,0.06249898610921177,0.2453904347446124
26733,0.24235397937364545,0.8560257730772323
26734,0.07995401525191118,0.199742784392464
26735,0.014922151404546958,0.08664520960416723
26736,0.10618270111551743,0.5056743438298373
26737,0.051282203986735476,0.490329927107131
26738,0.04599574014196218,0.04556878132543663
26739,0.10066827942025834,0.19069058864319985
26740,0.6220975812418195,0.7168123364718875
26741,0.1342683971077839,0.15405941346707502
26742,0.38602154250837173,0.5614290566297135
26743,0.09420775506040488,0.7390893481670332
26744,0.06257586864424795,0.18370202076652326
26745,0.2345411111695416,0.6562668704573877
26746,0.41129083871183714,0.8466507120781249
26747,0.2975652861310735,0.4978391666798027
26748,0.4204713564064705,0.7669552842740767
26749,0.027846335251319142,0.04849538989732122
26750,0.1685136931059525,0.09988137789967462
26751,0.031090622570234094,0.13808106813754822
26752,0.022389617744233554,0.1991374540084398
26753,0.2341430564380685,0.43297966651027264
26754,0.1924089841752745,0.19706704592498211
26755,0.46851057249568284,0.8207837873372936
26756,0.3016981003973622,0.4771953215279185
26757,0.23689464149607328,0.4657274594678846
26758,0.10350248877237285,0.7260246252194534
26759,0.16837649279689268,0.2537192560769327
26760,0.14953314822971261,0.5231536432970678
26761,0.05984577507597459,0.2289734510426022
26762,0.10556547927930919,0.33540571840485495
26763,0.12935891586133333,0.8659819967419055
26764,0.1922479760422508,0.6250549669882784
26765,0.06923489596342984,0.6393124217159396
26766,0.016797716431246012,0.2010276806676259
26767,0.6785553423958091,0.9236137728168243
26768,0.08423847258588739,0.3439705641442333
26769,0.036178923286129816,0.11918868375973023
26770,0.49019250209389453,0.6750557757332395
26771,0.06465688924424341,0.13195498302180544
26772,0.025984162707850825,0.1257001091462442
26773,0.051739427798887905,0.042294995020587846
26774,0.3852518815503296,0.6777749936411813
26775,0.05970163927207339,0.839754616570789
26776,0.053182144177633305,0.5405570909029899
26777,0.05070889504816998,0.08026416443317301
26778,0.22313505112010282,0.9522927979396493
26779,0.12668552037338218,0.31357180102022264
26780,0.2530361499497843,0.8790059037149178
26781,0.574826355751384,0.547381229584935
26782,0.6490967776568137,0.834751690708313
26783,0.1399143324566931,0.7020465913217611
26784,0.16928077522758828,0.8989630723366772
26785,0.2804385790171036,0.6098370266122846
26786,0.4167621369997434,0.8650949173958447
26787,0.07723974658279677,0.21181588010068667
26788,0.10500599761414187,0.5659716637886418
26789,0.4142200517309685,0.6139940355619455
26790,0.3349685425945414,0.6593997571355007
26791,0.7762614564140995,0.9243499392392561
26792,0.5422594344499784,0.8305289659946665
26793,0.052700636191767306,0.16687151716189902
26794,0.06563345535329336,0.22893058213662518
26795,0.022783214194493705,0.45711314286500315
26796,0.03773111260528103,0.0626184156293972
26797,0.09536863905227032,0.1356994997355952
26798,0.1728052359227263,0.8715921143400536
26799,0.01647111066448279,0.08391770532861338
26800,0.34213194207034014,0.4414415555229101
26801,0.4320979549199871,0.6622780724407573
26802,0.3595440188107291,0.4307538108317573
26803,0.7869943794268323,0.9522850535263437
26804,0.3065640942385792,0.7809575122572808
26805,0.09598764204761166,0.03009971037133784
26806,0.1005545774600852,0.43854144406580636
26807,0.23434845648755123,0.1308632925354175
26808,0.8840846516519728,0.8094270344597859
26809,0.23219102510512327,0.5728500725902357
26810,0.022767028526058868,0.41540560329839615
26811,0.013885598702910498,0.1793950418427471
26812,0.15673089359908726,0.41723691757497827
26813,0.06046297527589628,0.08196551543811133
26814,0.42146926122529194,0.6650404076083047
26815,0.11071296722396319,0.08516021489854646
26816,0.03143241850878927,0.5985437621770104
26817,0.8073246618956239,0.871751145564014
26818,0.037890600047399664,0.20220475401884455
26819,0.520118937452536,0.8593799059694467
26820,0.048969387231654546,0.48738685568246826
26821,0.12263000917812639,0.36025307051221506
26822,0.10026136744063173,0.49454581047396723
26823,0.13472375645887025,0.502053128603433
26824,0.18266107025950637,0.46163999997378274
26825,0.10303715978186052,0.5022856444656221
26826,0.10093123732088619,0.31401453024320364
26827,0.043137912649873766,0.19576184588958218
26828,0.06924285131208364,0.24399167746318162
26829,0.774114791444288,0.9607420223233389
26830,0.7450570948689081,0.7144842548701938
26831,0.16059614087817778,0.21598543479857488
26832,0.08979902980257815,0.7019848859911167
26833,0.10832646712381075,0.573882949763956
26834,0.33263279429525666,0.6066659123193349
26835,0.11865473036666062,0.9294440966328373
26836,0.09479747843279795,0.4745671837564628
26837,0.20120508250074282,0.4166138754427293
26838,0.07112395961012709,0.5444411569983987
26839,0.22290204923310078,0.1458929434197112
26840,0.13376676282525096,0.770876028070019
26841,0.20717474586742438,0.612092823718741
26842,0.1633009683390876,0.7854155108210925
26843,0.7721996382955908,0.9392831785519663
26844,0.1855073789344443,0.47588833409822456
26845,0.12855906216757956,0.5514591575763188
26846,0.019530994322485555,0.011983268290410357
26847,0.2906687823772919,0.8191791239012632
26848,0.12250097396678548,0.4239031246456398
26849,0.04744671218870608,0.33521200661902206
26850,0.10792753455205895,0.3895821396754194
26851,0.1706873989904866,0.277269257801606
26852,0.10897353898519492,0.17979303036447022
26853,0.7192221782759088,0.8752828332421186
26854,0.2775313273114386,0.9756119247365799
26855,0.292257058298219,0.5683421378530634
26856,0.058012973249514745,0.08570307515915375
26857,0.12411788562412834,0.1389857255475371
26858,0.4430299497953202,0.8906359541275581
26859,0.12094368171174283,0.5218568604885458
26860,0.030667680404202122,0.4227566848596439
26861,0.07430616581079601,0.2656980722915983
26862,0.10806246345668749,0.6075398175275778
26863,0.15596684644110986,0.3853720164518383
26864,0.07585727034333482,0.24597355925283937
26865,0.20629252788548952,0.6518781363665653
26866,0.1769140846992269,0.30195998409963587
26867,0.10822781616684833,0.9416661740931931
26868,0.050185548084252504,0.11050867941058508
26869,0.08770283395996295,0.17120341127040004
26870,0.06817275356701581,0.06219040712949885
